ID,制作物名,説明,制作物種別,開始日,終了日,実施開始時間,実施終了時間,放送時間,放送曜日,ステータス,親制作物ID,親制作物名
366,HONMOKU RED HOT STREET,"FM横浜番組表（2025年版）
メール: 045046@fmyokohama.jp",レギュラー,,,23:00,24:00,,土,放送中,,
291,Harbor Blue Studio,"FM横浜番組表（2025年版）
メール: hbs@fmyokohama.jp",レギュラー,,,27:00,27:30,,月,放送中,,
292,Hits 200,"FM横浜番組表（2025年版）
メール: h200@fmyokohama.jp",レギュラー,,,27:30,29:00,,"月,火,水,木,金",放送中,,
339,JACK STYLE,"FM横浜番組表（2025年版）
メール: jack@fmyokohama.jp",レギュラー,,,23:30,24:00,,金,放送中,,
6,JOGSTATION,,コーナー,2025-11-03,2025-11-03,,,,土,放送中,171,
370,JOY TO THE WORLD,"FM横浜番組表（2025年版）
メール: joy@fmyokohama.jp",レギュラー,,,25:30,26:00,,土,放送中,,
324,K-style,"FM横浜番組表（2025年版）
メール: kst@fmyokohama.jp",レギュラー,,,23:30,24:00,,木,放送中,,
350,KANAGAWA Muffin,"FM横浜番組表（2025年版）
メール: kanagawa@fmyokohama.jp",レギュラー,,,08:30,08:55,,土,放送中,,
7,KIRIN PARK CITY YOKOHAMA,,コーナー,2025-01-01,2025-11-03,,,,,放送中,164,
8,KIRIN YOKOHAMA STORY,,コーナー,2025-01-01,2025-11-03,,,,,放送中,164,
55,KIRIN YOKOHAMA STORY制作費,,イベント,2025-11-01,,,,,,完了,,
56,KIRIN構成料,,イベント,2025-11-01,,,,,,完了,,
283,Keep Green & Blue,"FM横浜番組表（2025年版）
メール: keep@fmyokohama.jp",レギュラー,,,21:50,22:00,,"月,火,水,木",放送中,,
268,Kiss & Ride,"FM横浜番組表（2025年版）
メール: kr@fmyokohama.jp",レギュラー,,,12:00,15:00,,"月,火,水",放送中,,
319,Kiss & Ride,"FM横浜番組表（2025年版）
メール: kr@fmyokohama.jp",レギュラー,,,12:00,14:50,,木,放送中,,
320,LIGHT UP KANAGAWA,"FM横浜番組表（2025年版）
メール: light@fmyokohama.jp",レギュラー,,,14:50,14:58,,木,放送中,,
364,LIVE DAM WAO! presents FEEL THE MUSIC,"FM横浜番組表（2025年版）
メール: ftm@fmyokohama.jp",レギュラー,,,22:00,22:30,,土,放送中,,
341,Life Goes On ～スワサントン BLUES～,"FM横浜番組表（2025年版）
メール: mari@fmyokohama.jp",レギュラー,,,24:30,25:00,,金,放送中,,
344,Loco Spirits!,"FM横浜番組表（2025年版）
メール: loco@fmyokohama.jp",レギュラー,,,26:00,26:30,,金,放送中,,
343,Lovefunky Raydio,"FM横浜番組表（2025年版）
メール: lovefunky@fmyokohama.jp",レギュラー,,,25:30,26:00,,金,放送中,,
262,Lovely Day♡,"FM横浜番組表（2025年版）
メール: lovely@fmyokohama.jp",レギュラー,,,09:00,12:00,,"月,火,水,木",放送中,,
334,Lovely Day♡～hana金～,"FM横浜番組表（2025年版）
メール: lovely@fmyokohama.jp",レギュラー,,,09:00,12:00,,金,放送中,,
293,Mach Discovery,"FM横浜番組表（2025年版）
メール: mach@fmyokohama.jp",レギュラー,,,05:15,05:45,,火,放送中,,
312,Midnight CROSSOVER 847,"FM横浜番組表（2025年版）
メール: mcro847@fmyokohama.jp",レギュラー,,,25:00,25:30,,水,放送中,,
325,Music Rumble,"FM横浜番組表（2025年版）
メール: rumble@fmyokohama.jp",レギュラー,,,24:00,25:00,,木,放送中,,
355,NIPPON CHA・茶・CHA,"FM横浜番組表（2025年版）
メール: ocha@fmyokohama.jp",レギュラー,,,15:55,16:00,,土,放送中,,
31,"No Racing,No Life",,コーナー,2025-01-01,2025-11-03,,,,,放送中,163,
264,PLAY OUR LIST,"FM横浜番組表（2025年版）
親番組: Lovely Day♡",コーナー,,,09:45,,,"月,火,水,木",放送中,262,Lovely Day♡
279,PRIME TIME,"FM横浜番組表（2025年版）
メール: prime@fmyokohama.jp",レギュラー,,,19:00,21:50,,月,放送中,,
295,PRIME TIME,"FM横浜番組表（2025年版）
メール: prime@fmyokohama.jp",レギュラー,,,19:00,21:50,,火,放送中,,
307,PRIME TIME,"FM横浜番組表（2025年版）
メール: prime@fmyokohama.jp",レギュラー,,,19:00,21:50,,水,放送中,,
322,PRIME TIME,"FM横浜番組表（2025年版）
メール: prime@fmyokohama.jp",レギュラー,,,19:00,21:50,,木,放送中,,
10,PRIME TIME LIVE,,レギュラー,2025-01-01,,,,,,放送中,,
57,PRIME TIME LIVE制作費,,イベント,2025-11-01,,,,,,完了,,
281,PRIME TIME MIX,"FM横浜番組表（2025年版）
親番組: PRIME TIME",コーナー,,,20:00,,,月,放送中,279,PRIME TIME
58,PRIME TIME栗原治久出演料,,イベント,2025-11-01,,,,,,完了,,
59,PRIME TIME栗原治久出演料制作費,,イベント,2025-11-01,,,,,,完了,,
357,Piano Winery ～響きのクラシック～,"FM横浜番組表（2025年版）
メール: piano@fmyokohama.jp",レギュラー,,,18:45,19:00,,土,放送中,,
386,RADIO MASHUP,"FM横浜番組表（2025年版）
メール: mash@fmyokohama.jp",レギュラー,,,18:30,19:00,,日,放送中,,
258,RADIO SHOPPING,"FM横浜番組表（2025年版）
親番組: ちょうどいいラジオ",コーナー,,,06:45,,,"月,火,水,木",放送中,256,ちょうどいいラジオ
266,RADIO SHOPPING,"FM横浜番組表（2025年版）
親番組: Lovely Day♡",コーナー,,,10:23,,,"月,火,水,木",放送中,262,Lovely Day♡
270,RADIO SHOPPING,"FM横浜番組表（2025年版）
親番組: Kiss & Ride",コーナー,,,12:31,,,"月,火,水",放送中,268,Kiss & Ride
271,RADIO SHOPPING,"FM横浜番組表（2025年版）
親番組: Kiss & Ride",コーナー,,,13:31,,,"月,火,水",放送中,268,Kiss & Ride
274,RADIO SHOPPING,"FM横浜番組表（2025年版）
親番組: Tresen",コーナー,,,15:31,,,月,放送中,273,Tresen
280,RADIO SHOPPING,"FM横浜番組表（2025年版）
親番組: PRIME TIME",コーナー,,,19:21,,,月,放送中,279,PRIME TIME
313,ROMANTIC YOKOHAMI,"FM横浜番組表（2025年版）
メール: hami@fmyokohama.jp",レギュラー,,,25:30,26:00,,水,放送中,,
278,ROOTS & FUTURE,"FM横浜番組表（2025年版）
親番組: Tresen",コーナー,,,18:20,,,月,放送中,273,Tresen
371,Radio HITS Radio,"FM横浜番組表（2025年版）
メール: snu@fmyokohama.jp",レギュラー,,,26:00,28:30,,土,放送中,,
395,Rebellmusik,"FM横浜番組表（2025年版）
メール: sugizo@fmyokohama.jp",レギュラー,,,23:30,24:00,,日,放送中,,
317,Romance Port Night,"FM横浜番組表（2025年版）
メール: saechi@fmyokohama.jp",レギュラー,,,27:30,28:00,,水,放送中,,
356,Route 847,"FM横浜番組表（2025年版）
メール: r847@fmyokohama.jp",レギュラー,,,16:00,18:30,,土,放送中,,
52,Route847,,イベント,2025-11-01,,,,,,完了,,
60,Route847 度出演費,,イベント,2025-11-01,,,,,,完了,,
61,Route847 番組制作費,,イベント,2025-11-01,,,,,,完了,,
374,SEASIDE CLASSIC,"FM横浜番組表（2025年版）
メール: iso@fmyokohama.jp",レギュラー,,,09:13,09:27,,日,放送中,,
373,SHONAN by the Sea,"FM横浜番組表（2025年版）
メール: shonan@fmyokohama.jp",レギュラー,,,06:00,09:13,,日,放送中,,
394,SORASHIGE BOOK,"FM横浜番組表（2025年版）
メール: ssb@fmyokohama.jp",レギュラー,,,23:00,23:30,,日,放送中,,
282,SPORTS LINE,"FM横浜番組表（2025年版）
親番組: PRIME TIME",コーナー,,,21:46,,,月,放送中,279,PRIME TIME
254,Sound Ocean,"FM横浜番組表（2025年版）
メール: ocean@fmyokohama.jp",レギュラー,,,05:00,05:15,,"月,土,日",放送中,,
361,Startline,"FM横浜番組表（2025年版）
メール: start@fmyokohama.jp",レギュラー,,,20:30,21:00,,土,放送中,,
397,Sunday Pocket,"FM横浜番組表（2025年版）
メール: sp@fmyokohama.jp",レギュラー,,,24:30,25:00,,日,放送中,,
62,Sunday Pocket制作費,,イベント,2025-11-01,,,,,,完了,,
383,Sunset Breeze,"FM横浜番組表（2025年版）
メール: sb@fmyokohama.jp",レギュラー,,,16:00,17:48,,日,放送中,,
314,TANSAN HOUR　今夜もシュワシュワ,"FM横浜番組表（2025年版）
メール: tansan@fmyokohama.jp",レギュラー,,,26:00,26:30,,水,放送中,,
360,THE MOTOR WEEKLY,"FM横浜番組表（2025年版）
メール: tm@fmyokohama.jp",レギュラー,,,20:00,20:30,,土,放送中,,
277,TOYO TIRES presents 転がれ＃オプカン！,"FM横浜番組表（2025年版）
親番組: Tresen",コーナー,,,18:00,,,月,放送中,273,Tresen
316,TY Night Drive,"FM横浜番組表（2025年版）
メール: ty@fmyokohama.jp",レギュラー,,,27:00,27:30,,水,放送中,,
380,Take your time.,"FM横浜番組表（2025年版）
メール: take@fmyokohama.jp",レギュラー,,,13:00,15:20,,日,放送中,,
348,The Burn,"FM横浜番組表（2025年版）
メール: theburn@fmyokohama.jp",レギュラー,,,05:00,08:00,,土,放送中,,
353,Travelin' Light,"FM横浜番組表（2025年版）
メール: tl@fmyokohama.jp",レギュラー,,,11:00,12:50,,土,放送中,,
273,Tresen,"FM横浜番組表（2025年版）
メール: tresen@fmyokohama.jp",レギュラー,,,15:00,19:00,,月,放送中,,
294,Tresen,"FM横浜番組表（2025年版）
メール: tresen@fmyokohama.jp",レギュラー,,,15:00,19:00,,火,放送中,,
306,Tresen,"FM横浜番組表（2025年版）
メール: tresen@fmyokohama.jp",レギュラー,,,15:00,19:00,,水,放送中,,
321,Tresen,"FM横浜番組表（2025年版）
メール: tresen@fmyokohama.jp",レギュラー,,,15:00,19:00,,木,放送中,,
336,Tresen Friday,"FM横浜番組表（2025年版）
メール: tresen@fmyokohama.jp",レギュラー,,,15:00,19:00,,金,放送中,,
337,U-MORE！,"FM横浜番組表（2025年版）
メール: u@fmyokohama.jp",レギュラー,,,19:00,22:00,,金,放送中,,
301,Voice Media Talk,"FM横浜番組表（2025年版）
メール: vmt@fmyokohama.jp",レギュラー,,,25:30,26:00,,火,放送中,,
389,YAMABICO,"FM横浜番組表（2025年版）
メール: mtm@fmyokohama.jp",レギュラー,,,20:00,21:00,,日,放送中,,
260,YOKOHAMA BUSINESS EYE,"FM横浜番組表（2025年版）
親番組: ちょうどいいラジオ",コーナー,,,07:35,,,"月,火,水,木",放送中,256,ちょうどいいラジオ
305,YOKOHAMA LAGOON,"FM横浜番組表（2025年版）
メール: lagoon@fmyokohama.jp",レギュラー,,,05:30,06:00,,水,放送中,,
375,YOKOHAMA My Choice!,"FM横浜番組表（2025年版）
メール: choice@fmyokohama.jp",レギュラー,,,09:30,10:00,,日,放送中,,
296,YOKOHAMA RADIO APARTMENT 「ちょいと歌います」,"FM横浜番組表（2025年版）
メール: choiuta@fmyokohama.jp",レギュラー,,,22:00,23:30,,火,放送中,,
308,YOKOHAMA RADIO APARTMENT 「ふらっと、道草」,"FM横浜番組表（2025年版）
メール: emi@fmyokohama.jp",レギュラー,,,22:00,23:30,,水,放送中,,
284,YOKOHAMA RADIO APARTMENT 「ドア開けてます！」,"FM横浜番組表（2025年版）
メール: wacci@fmyokohama.jp",レギュラー,,,22:00,23:30,,月,放送中,,
323,YOKOHAMA RADIO APARTMENT 「無礼ハイツ202」,"FM横浜番組表（2025年版）
メール: 202@fmyokohama.jp",レギュラー,,,22:00,23:30,,木,放送中,,
388,YOKOHAMA SYA⇔REE,"FM横浜番組表（2025年版）
メール: reesya@fmyokohama.jp",レギュラー,,,19:30,20:00,,日,放送中,,
13,YOKOHAMA　DeNA　BAYSTARS,,コーナー,2025-11-03,2025-11-03,,,,,放送中,179,
289,YOKOHAMAパーラー,"FM横浜番組表（2025年版）
メール: amadan@fmyokohama.jp",レギュラー,,,26:00,26:30,,月,放送中,,
14,Yokohama Lagoon,,レギュラー,2025-11-03,2025-11-03,,,,,放送中,,
338,ZERO-8,"FM横浜番組表（2025年版）
メール: 08@fmyokohama.jp",レギュラー,,,22:00,23:30,,金,放送中,,
286,otonanoラジオ,"FM横浜番組表（2025年版）
メール: otonano@fmyokohama.jp",レギュラー,,,24:00,24:30,,月,放送中,,
15,〇〇玉手箱,,レギュラー,2025-01-01,,,,,,放送中,,
64,〇〇玉手箱完パケ番組制作費,,イベント,2025-11-01,,,,,,完了,,
65,「Yokohama Lagoon」番組制作費 完パケ,,イベント,2025-11-01,,,,,,完了,,
346,あつあつ音楽人,"FM横浜番組表（2025年版）
メール: atat@fmyokohama.jp",レギュラー,,,27:00,28:00,,金,放送中,,
363,ありったけ交差点,"FM横浜番組表（2025年版）
メール: omoinotake@fmyokohama.jp",レギュラー,,,21:30,22:00,,土,放送中,,
384,おうち売却マスター,"FM横浜番組表（2025年版）
メール: ouchi@fmyokohama.jp",レギュラー,,,17:48,17:57,,日,放送中,,
392,かりゆし☆らんど,"FM横浜番組表（2025年版）
メール: land@fmyokohama.jp",レギュラー,,,22:00,22:30,,日,放送中,,
66,きぬた歯科ちょうどいい歯っピ―制作費,,イベント,2025-11-01,,,,,,完了,,
67,きぬた歯科ちょうどいい歯っピ―構成料,,イベント,2025-11-01,,,,,,完了,,
17,ここが知りたい不動産,,コーナー,2025-01-01,2025-11-03,,,,,放送中,179,
68,ここが知りたい不動産制作費,,イベント,2025-11-01,,,,,,完了,,
33,こころにまいう〜一輪二輪サンバ,,レギュラー,2025-01-01,,,,,,放送中,,
69,じゅんご出演料,,イベント,2025-11-01,,,,,,完了,,
27,その他,,レギュラー,2025-01-01,,,,,,放送中,,
18,ちょうどいいおカネの話,,コーナー,2025-01-01,2025-11-03,,,,,放送中,179,
70,ちょうどいいおカネの話　令和7年生番組制作費,,イベント,2025-11-01,,,,,,完了,,
111,ちょうどいいラジオ,,イベント,2025-11-01,,,,,,完了,,
256,ちょうどいいラジオ,"FM横浜番組表（2025年版）
メール: cer@fmyokohama.jp",レギュラー,,,06:00,09:00,,"月,火,水,木",放送中,,
71,ちょうどいいラジオ　令和7年生番組制作費,,イベント,2025-11-01,,,,,,完了,,
72,ちょうどいいラジオスタッフ宿泊費,,イベント,2025-11-01,,,,,,完了,,
20,ちょうどいい暮らし,,コーナー,2025-01-01,2025-11-03,,,,,放送中,179,
74,ちょうどいい暮らし制作費,,イベント,2025-11-01,,,,,,完了,,
16,ちょうどいい歯っピ―,,コーナー,2025-01-01,2025-11-03,,,,,放送中,179,
21,ちょめラジ,,レギュラー,2025-01-01,,,,,,放送中,,
75,ちょめラジ・安齋肇出演料,,イベント,2025-11-01,,,,,,完了,,
76,ちょめラジ・山本圭祐出演料,,イベント,2025-11-01,,,,,,完了,,
77,ちょめラジ制作費,,イベント,2025-11-01,,,,,,完了,,
78,ふかわりょうのロケットマンショー出演料,,イベント,2025-11-01,,,,,,完了,,
372,ほねごり相模原 presents スマッシュラジオ,"FM横浜番組表（2025年版）
メール: smash@fmyokohama.jp",レギュラー,,,05:45,06:00,,日,放送中,,
23,ほりごねpresentsちょうどいいごりごり隊,,コーナー,2025-01-01,2025-11-03,,,,,放送中,179,
79,ほりごねpresentsちょうどいいごりごり隊　制作費,,イベント,2025-11-01,,,,,,完了,,
376,まんてんサンデーズ,"FM横浜番組表（2025年版）
メール: manten@fmyokohama.jp",レギュラー,,,10:00,11:33,,日,放送中,,
80,らんらんツアー Friday Wanderer制作費,,イベント,2025-11-01,,,,,,完了,,
81,らんらんツアーFriday Wanderer出演料,,イベント,2025-11-01,,,,,,完了,,
82,アナウンサー出演料,,イベント,2025-11-01,,,,,,完了,,
387,アレキとか！ドロスとか！,"FM横浜番組表（2025年版）
メール: aledro@fmyokohama.jp",レギュラー,,,19:00,19:30,,日,放送中,,
362,イケてるタランチュラ,"FM横浜番組表（2025年版）
メール: iketara@fmyokohama.jp",レギュラー,,,21:00,21:30,,土,放送中,,
377,ウエインズトヨタ神奈川 presents サンデービーコル,"FM横浜番組表（2025年版）
メール: ybc@fmyokohama.jp",レギュラー,,,11:48,12:00,,日,放送中,,
315,キイテル「Rest in Bayside」,"FM横浜番組表（2025年版）
メール: rib@fmyokohama.jp",レギュラー,,,26:30,27:00,,水,放送中,,
303,キイテル「ロケットマンショー」,"FM横浜番組表（2025年版）
メール: rs@fmyokohama.jp",レギュラー,,,26:30,27:00,,火,放送中,,
329,キイテル「神奈川ディス・ラブ」,"FM横浜番組表（2025年版）
メール: igoshogi@fmyokohama.jp",レギュラー,,,26:30,27:00,,木,放送中,,
290,キイテル「裸足」,"FM横浜番組表（2025年版）
メール: hadashi@fmyokohama.jp",レギュラー,,,26:30,27:00,,月,放送中,,
318,グローバル・シチズン,"FM横浜番組表（2025年版）
メール: nakayoshi@fmyokohama.jp",レギュラー,,,05:30,06:00,,木,放送中,,
83,コンテンツシェアサービス月額利用料,,イベント,2025-11-01,,,,,,完了,,
390,サンデーradio 調子 do～yo！！,"FM横浜番組表（2025年版）
メール: DAPUMP@fmyokohama.jp",レギュラー,,,21:00,21:30,,日,放送中,,
332,ジェイワンホームズ 心にまいう～ 一輪・二輪・サンバ！,"FM横浜番組表（2025年版）
メール: kkr_maiu@fmyokohama.jp",レギュラー,,,05:45,06:00,,金,放送中,,
37,テストレギュラー案件,,イベント,2025-04-01,,,,,,完了,,
38,テストレギュラー案件（コピー）,,イベント,2025-04-01,,,,,,完了,,
25,ドライバーズモーニングＱ,,コーナー,2025-01-01,2025-11-03,,,,,放送中,179,
84,ドライバーズモーニングＱ　令和7年生番組制作費,,イベント,2025-11-01,,,,,,完了,,
86,ニュース勤務分,,イベント,2025-11-01,,,,,,完了,,
110,ニュース室,,イベント,2030-03-31,,,,,,完了,,
87,ニュース配信料・神奈川新聞分,,イベント,2025-11-01,,,,,,完了,,
358,ハートフルラジオ 虫の知らせ,"FM横浜番組表（2025年版）
メール: mushi@fmyokohama.jp",レギュラー,,,19:00,19:30,,土,放送中,,
288,ピロートープ,"FM横浜番組表（2025年版）
メール: shy@fmyokohama.jp",レギュラー,,,25:30,26:00,,月,放送中,,
88,プランテックオンエア情報,,イベント,2025-11-01,,,,,,完了,,
257,ヘッドラインニュース,"FM横浜番組表（2025年版）
親番組: ちょうどいいラジオ",コーナー,,,06:07,,,"月,火,水,木",放送中,256,ちょうどいいラジオ
28,マッハディスカバリー,,レギュラー,2025-01-01,,,,,,放送中,,
89,マッハディスカバリー　令和7年4月完パケ番組制作費,,イベント,2025-11-01,,,,,,完了,,
255,メラタデマンデー,"FM横浜番組表（2025年版）
メール: kent@fmyokohama.jp",レギュラー,,,05:15,05:45,,月,放送中,,
90,メラタデマンデー2025年4月分制作費,,イベント,2025-11-01,,,,,,完了,,
378,ヤマハ発動機 presents Sunday Ride with Ken,"FM横浜番組表（2025年版）
メール: kenmiyake@fmyokohama.jp",レギュラー,,,12:00,12:30,,日,放送中,,
91,ヨコハマストーリー外崎友亮出演料,,イベント,2025-11-01,,,,,,完了,,
276,ラジオショッピング,"FM横浜番組表（2025年版）
親番組: Tresen",コーナー,,,16:50,,,月,放送中,273,Tresen
92,ラジオ気象番組支援サービス,,イベント,2025-11-01,,,,,,完了,,
22,ロケットマンショー,,レギュラー,2025-01-01,,,,,,放送中,,
93,ロケットマンショー出演料・作家料,,イベント,2025-11-01,,,,,,完了,,
94,ロケットマンショー制作費,,イベント,2025-11-01,,,,,,完了,,
300,ヰ世界らじおプラネット,"FM横浜番組表（2025年版）
メール: isepura@fmyokohama.jp",レギュラー,,,25:00,25:30,,火,放送中,,
310,今夜もおきばりさん！,"FM横浜番組表（2025年版）
メール: aya@fmyokohama.jp",レギュラー,,,24:00,24:30,,水,放送中,,
302,全身全霊ラジオ,"FM横浜番組表（2025年版）
メール: piggs@fmyokohama.jp",レギュラー,,,26:00,26:30,,火,放送中,,
331,同い年の幼なじみ4人が集まると うるさくてねむれない件,"FM横浜番組表（2025年版）
メール: 15urunemu@fmyokohama.jp",レギュラー,,,27:30,28:00,,木,放送中,,
330,四畳半エメラルド supported by ReNY,"FM横浜番組表（2025年版）
メール: yoneme@fmyokohama.jp",レギュラー,,,27:00,27:30,,木,放送中,,
95,回線料,,イベント,2025-11-01,,,,,,完了,,
96,囲碁将棋・神奈川ディスラブ出演料,,イベント,2025-11-01,,,,,,完了,,
304,夜更けのスナックEden,"FM横浜番組表（2025年版）
メール: eden@fmyokohama.jp",レギュラー,,,27:00,27:30,,火,放送中,,
97,宮崎香子出演料,,イベント,2025-11-01,,,,,,完了,,
98,富士スピードウェイ,,イベント,2025-11-01,,,,,,完了,,
99,富士スピードウェイ制作費,,イベント,2025-11-01,,,,,,完了,,
26,幸せな人生のしまいかた,,コーナー,2025-01-01,2025-11-03,,,,,放送中,169,
311,恋する♡クリームパン,"FM横浜番組表（2025年版）
メール: koipan@fmyokohama.jp",レギュラー,,,24:30,25:00,,水,放送中,,
342,懐メロ時間旅行,"FM横浜番組表（2025年版）
メール: aiby@fmyokohama.jp",レギュラー,,,25:00,25:30,,金,放送中,,
349,日産神奈川 presents Pick up my town,"FM横浜番組表（2025年版）
メール: town@fmyokohama.jp",レギュラー,,,08:00,08:30,,土,放送中,,
382,日立システムズエンジニアリングサービス LANDMARK SPORTS HEROES,"FM横浜番組表（2025年版）
メール: lsh@fmyokohama.jp",レギュラー,,,15:30,16:00,,日,放送中,,
100,早朝ニュースアナ・DJタクシー代,,イベント,2025-11-01,,,,,,完了,,
326,木曜日の男子会,"FM横浜番組表（2025年版）
メール: lead@fmyokohama.jp",レギュラー,,,25:00,25:30,,木,放送中,,
261,東芝プラントシステム 光邦 EYE'S,"FM横浜番組表（2025年版）
親番組: ちょうどいいラジオ",コーナー,,,07:43,,,"月,火,水,木",放送中,256,ちょうどいいラジオ
32,横浜Disco Train,,レギュラー,2025-01-01,2025-11-03,,,,,放送中,,
101,横浜Disco Train 4月分制作費,,イベント,2025-11-01,,,,,,完了,,
381,横浜DiscoTrain,"FM横浜番組表（2025年版）
メール: yokohamadisco@fmyokohama.jp",レギュラー,,,15:20,15:30,,日,放送中,,
102,歯っピーDEまいう〜　令和7年4月　完パケ番組制作費,,イベント,2025-11-01,,,,,,完了,,
103,歯ッピーDEまいう〜高橋茉奈出演料,,イベント,2025-11-01,,,,,,完了,,
299,深夜の音楽食堂,"FM横浜番組表（2025年版）
メール: yashoku@fmyokohama.jp",レギュラー,,,24:30,25:00,,火,放送中,,
345,濱ジャズ,"FM横浜番組表（2025年版）
メール: hamajazz@fmyokohama.jp",レギュラー,,,26:30,27:00,,金,放送中,,
104,物流魂presents Driver`s Heart,,イベント,2025-06-04,,,,,,完了,,
328,癒しのサプリ,"FM横浜番組表（2025年版）
メール: iyashi@fmyokohama.jp",レギュラー,,,26:00,26:30,,木,放送中,,
327,真夜中のグッドプレイリスト,"FM横浜番組表（2025年版）
メール: hazama@fmyokohama.jp",レギュラー,,,25:30,26:00,,木,放送中,,
105,石塚英彦・歯ッピーDEまいう〜出演料,,イベント,2025-11-01,,,,,,完了,,
30,神奈川ディス・ラブ,,レギュラー,2025-01-01,,,,,,放送中,,
106,神奈川ディス・ラブ　令和7年4月完パケ番組制作費,,イベント,2025-11-01,,,,,,完了,,
263,街角リポート,"FM横浜番組表（2025年版）
親番組: Lovely Day♡",コーナー,,,09:15,,,"月,火,水,木",放送中,262,Lovely Day♡
265,街角リポート,"FM横浜番組表（2025年版）
親番組: Lovely Day♡",コーナー,,,10:00,,,"月,火,水,木",放送中,262,Lovely Day♡
267,街角リポート,"FM横浜番組表（2025年版）
親番組: Lovely Day♡",コーナー,,,11:05,,,"月,火,水,木",放送中,262,Lovely Day♡
35,裸足,,レギュラー,2025-01-01,,,,,,放送中,,
107,裸足制作費,,イベント,2025-11-01,,,,,,完了,,
298,言ったもん勝ち！だもん,"FM横浜番組表（2025年版）
メール: gachi@fmyokohama.jp",レギュラー,,,24:00,24:30,,火,放送中,,
108,負担金,,イベント,2025-11-01,,,,,,完了,,
109,道路交通情報提供に伴う協力費,,イベント,2025-11-01,,,,,,完了,,
351,鎌倉まめヴィアージュ,"FM横浜番組表（2025年版）
メール: mame@fmyokohama.jp",レギュラー,,,08:55,09:00,,土,放送中,,
